Date,Visitor Team,Home Team,Visitor Goals,Home Goals
2014-03-29,Columbus Blue Jackets,Carolina Hurricanes,3,2
2014-03-29,San Jose Sharks,Colorado Avalanche,2,3
2014-03-29,Montreal Canadiens,Florida Panthers,4,1
2014-03-29,Winnipeg Jets,Los Angeles Kings,2,4
2014-03-29,New Jersey Devils,New York Islanders,1,2
2014-03-29,Minnesota Wild,Phoenix Coyotes,3,1
2014-03-29,Dallas Stars,St. Louis Blues,4,2
2014-03-29,Detroit Red Wings,Toronto Maple Leafs,4,2
2014-03-29,Anaheim Ducks,Vancouver Canucks,5,1
2014-03-29,Boston Bruins,Washington Capitals,4,2
2014-03-30,Tampa Bay Lightning,Detroit Red Wings,2,3
2014-03-30,New York Rangers,Edmonton Oilers,5,0
2014-03-30,Washington Capitals,Nashville Predators,3,4
2014-03-30,Calgary Flames,Ottawa Senators,3,6
2014-03-30,Boston Bruins,Philadelphia Flyers,4,3
2014-03-30,Chicago Blackhawks,Pittsburgh Penguins,1,4
2014-03-31,Winnipeg Jets,Anaheim Ducks,4,5
2014-03-31,Minnesota Wild,Los Angeles Kings,3,2
2014-03-31,Florida Panthers,New Jersey Devils,3,6
2014-03-31,Carolina Hurricanes,Ottawa Senators,1,2
2014-04-01,New Jersey Devils,Buffalo Sabres,2,3
2014-04-01,Colorado Avalanche,Columbus Blue Jackets,3,2
2014-04-01,Florida Panthers,New York Islanders,2,4
2014-04-01,Winnipeg Jets,Phoenix Coyotes,2,1
2014-04-01,Carolina Hurricanes,Pittsburgh Penguins,4,1
2014-04-01,Edmonton Oilers,San Jose Sharks,4,5
2014-04-01,Philadelphia Flyers,St. Louis Blues,0,1
2014-04-01,Montreal Canadiens,Tampa Bay Lightning,1,3
2014-04-01,Calgary Flames,Toronto Maple Leafs,2,3
2014-04-01,New York Rangers,Vancouver Canucks,3,1
2014-04-01,Dallas Stars,Washington Capitals,5,0
2014-04-02,Edmonton Oilers,Anaheim Ducks,2,3
2014-04-02,Boston Bruins,Detroit Red Wings,2,3
2014-04-02,Phoenix Coyotes,Los Angeles Kings,0,4
2014-04-02,New York Islanders,Ottawa Senators,2,1
2014-04-03,Dallas Stars,Carolina Hurricanes,1,4
2014-04-03,Minnesota Wild,Chicago Blackhawks,2,3
2014-04-03,New York Rangers,Colorado Avalanche,2,3
2014-04-03,Columbus Blue Jackets,Philadelphia Flyers,2,0
2014-04-03,Los Angeles Kings,San Jose Sharks,1,2
2014-04-03,Buffalo Sabres,St. Louis Blues,1,2
2014-04-03,Calgary Flames,Tampa Bay Lightning,4,1
2014-04-03,Boston Bruins,Toronto Maple Leafs,3,4
2014-04-03,Pittsburgh Penguins,Winnipeg Jets,4,2
2014-04-04,Nashville Predators,Anaheim Ducks,5,2
2014-04-04,Chicago Blackhawks,Columbus Blue Jackets,4,3
2014-04-04,Buffalo Sabres,Detroit Red Wings,2,3
2014-04-04,Calgary Flames,Florida Panthers,2,1
2014-04-04,Washington Capitals,New Jersey Devils,1,2
2014-04-04,Montreal Canadiens,Ottawa Senators,7,4
2014-04-04,Edmonton Oilers,Phoenix Coyotes,3,2
2014-04-05,Philadelphia Flyers,Boston Bruins,2,5
2014-04-05,New Jersey Devils,Carolina Hurricanes,3,1
2014-04-05,Pittsburgh Penguins,Minnesota Wild,0,4
2014-04-05,Detroit Red Wings,Montreal Canadiens,3,5
2014-04-05,Washington Capitals,New York Islanders,4,3
2014-04-05,Ottawa Senators,New York Rangers,3,2
2014-04-05,Nashville Predators,San Jose Sharks,3,0
2014-04-05,Colorado Avalanche,St. Louis Blues,4,0
2014-04-05,Dallas Stars,Tampa Bay Lightning,5,2
2014-04-05,Winnipeg Jets,Toronto Maple Leafs,4,2
2014-04-05,Los Angeles Kings,Vancouver Canucks,1,2
2014-04-06,New York Islanders,Columbus Blue Jackets,0,4
2014-04-06,St. Louis Blues,Chicago Blackhawks,2,4
2014-04-06,Pittsburgh Penguins,Colorado Avalanche,3,2
2014-04-06,Anaheim Ducks,Edmonton Oilers,2,4
2014-04-06,Dallas Stars,Florida Panthers,2,3
2014-04-06,Buffalo Sabres,Philadelphia Flyers,2,5
2014-04-07,Calgary Flames,New Jersey Devils,1,0
2014-04-07,Anaheim Ducks,Vancouver Canucks,3,0
2014-04-07,Minnesota Wild,Winnipeg Jets,1,0
2014-04-08,Detroit Red Wings,Buffalo Sabres,4,2
2014-04-08,Phoenix Coyotes,Columbus Blue Jackets,3,4
2014-04-08,Nashville Predators,Dallas Stars,2,3
2014-04-08,Colorado Avalanche,Edmonton Oilers,4,1
2014-04-08,Philadelphia Flyers,Florida Panthers,5,2
2014-04-08,Boston Bruins,Minnesota Wild,3,4
2014-04-08,Ottawa Senators,New York Islanders,4,1
2014-04-08,Carolina Hurricanes,New York Rangers,1,4
2014-04-08,Washington Capitals,St. Louis Blues,4,1
2014-04-08,Toronto Maple Leafs,Tampa Bay Lightning,0,3
2014-04-09,San Jose Sharks,Anaheim Ducks,2,5
2014-04-09,Los Angeles Kings,Calgary Flames,3,4
2014-04-09,Montreal Canadiens,Chicago Blackhawks,2,3
2014-04-09,Columbus Blue Jackets,Dallas Stars,3,1
2014-04-09,Detroit Red Wings,Pittsburgh Penguins,3,4
2014-04-10,Washington Capitals,Carolina Hurricanes,5,2
2014-04-10,Los Angeles Kings,Edmonton Oilers,3,0
2014-04-10,Toronto Maple Leafs,Florida Panthers,2,4
2014-04-10,St. Louis Blues,Minnesota Wild,2,4
2014-04-10,New York Islanders,Montreal Canadiens,2,0
2014-04-10,Phoenix Coyotes,Nashville Predators,0,2
2014-04-10,Buffalo Sabres,New York Rangers,1,2
2014-04-10,New Jersey Devils,Ottawa Senators,1,2
2014-04-10,Philadelphia Flyers,Tampa Bay Lightning,2,4
2014-04-10,Colorado Avalanche,Vancouver Canucks,4,2
2014-04-10,Boston Bruins,Winnipeg Jets,1,2
2014-04-11,Winnipeg Jets,Calgary Flames,5,3
2014-04-11,St. Louis Blues,Dallas Stars,0,3
2014-04-11,Carolina Hurricanes,Detroit Red Wings,2,1
2014-04-11,New York Islanders,New Jersey Devils,3,2
2014-04-11,Colorado Avalanche,San Jose Sharks,1,5
2014-04-11,Columbus Blue Jackets,Tampa Bay Lightning,2,3
2014-04-11,Chicago Blackhawks,Washington Capitals,0,4
2014-04-12,Buffalo Sabres,Boston Bruins,1,4
2014-04-12,Vancouver Canucks,Edmonton Oilers,2,5
2014-04-12,Columbus Blue Jackets,Florida Panthers,3,2
2014-04-12,Anaheim Ducks,Los Angeles Kings,4,3
2014-04-12,New York Rangers,Montreal Canadiens,0,1
2014-04-12,Chicago Blackhawks,Nashville Predators,5,7
2014-04-12,Toronto Maple Leafs,Ottawa Senators,0,1
2014-04-12,San Jose Sharks,Phoenix Coyotes,3,2
2014-04-12,Philadelphia Flyers,Pittsburgh Penguins,4,3
2014-04-13,Colorado Avalanche,Anaheim Ducks,2,3
2014-04-13,New York Islanders,Buffalo Sabres,4,3
2014-04-13,Nashville Predators,Minnesota Wild,7,3
2014-04-13,Boston Bruins,New Jersey Devils,2,3
2014-04-13,Carolina Hurricanes,Philadelphia Flyers,6,5
2014-04-13,Dallas Stars,Phoenix Coyotes,1,2
2014-04-13,Ottawa Senators,Pittsburgh Penguins,3,2
2014-04-13,Detroit Red Wings,St. Louis Blues,3,0
2014-04-13,Calgary Flames,Vancouver Canucks,1,5
2014-04-13,Tampa Bay Lightning,Washington Capitals,1,0
2014-04-16,Columbus Blue Jackets,Pittsburgh Penguins,3,4
2014-04-16,Dallas Stars,Anaheim Ducks,3,4
2014-04-16,Montreal Canadiens,Tampa Bay Lightning,5,4
2014-04-17,Minnesota Wild,Colorado Avalanche,4,5
2014-04-17,Philadelphia Flyers,New York Rangers,1,4
2014-04-17,Los Angeles Kings,San Jose Sharks,3,6
2014-04-17,Chicago Blackhawks,St. Louis Blues,3,4
2014-04-18,Dallas Stars,Anaheim Ducks,2,3
2014-04-18,Detroit Red Wings,Boston Bruins,1,0
2014-04-18,Montreal Canadiens,Tampa Bay Lightning,4,1
2014-04-19,Chicago Blackhawks,St. Louis Blues,3,4
2014-04-19,Columbus Blue Jackets,Pittsburgh Penguins,4,3
2014-04-19,Minnesota Wild,Colorado Avalanche,2,4
2014-04-20,Detroit Red Wings,Boston Bruins,1,4
2014-04-20,Tampa Bay Lightning,Montreal Canadiens,2,3
2014-04-20,Philadelphia Flyers,New York Rangers,4,2
2014-04-20,Los Angeles Kings,San Jose Sharks,2,7
2014-04-21,Pittsburgh Penguins,Columbus Blue Jackets,4,3
2014-04-21,St. Louis Blues,Chicago Blackhawks,0,2
2014-04-21,Anaheim Ducks,Dallas Stars,0,3
2014-04-21,Colorado Avalanche,Minnesota Wild,0,1
2014-04-22,New York Rangers,Philadelphia Flyers,4,1
2014-04-22,Tampa Bay Lightning,Montreal Canadiens,3,4
2014-04-22,Boston Bruins,Detroit Red Wings,3,0
2014-04-22,San Jose Sharks,Los Angeles Kings,4,3
2014-04-23,Pittsburgh Penguins,Columbus Blue Jackets,3,4
2014-04-23,St. Louis Blues,Chicago Blackhawks,3,4
2014-04-23,Anaheim Ducks,Dallas Stars,2,4
2014-04-24,Boston Bruins,Detroit Red Wings,3,2
2014-04-24,San Jose Sharks,Los Angeles Kings,3,6
2014-04-24,Colorado Avalanche,Minnesota Wild,1,2
2014-04-25,Dallas Stars,Anaheim Ducks,2,6
2014-04-25,New York Rangers,Philadelphia Flyers,1,2
2014-04-25,Chicago Blackhawks,St. Louis Blues,3,2
2014-04-26,Minnesota Wild,Colorado Avalanche,3,4
2014-04-26,Los Angeles Kings,San Jose Sharks,3,0
2014-04-26,Columbus Blue Jackets,Pittsburgh Penguins,1,3
2014-04-26,Detroit Red Wings,Boston Bruins,2,4
2014-04-27,St. Louis Blues,Chicago Blackhawks,1,5
2014-04-27,Anaheim Ducks,Dallas Stars,5,4
2014-04-27,Philadelphia Flyers,New York Rangers,2,4
2014-04-28,Pittsburgh Penguins,Columbus Blue Jackets,4,3
2014-04-28,San Jose Sharks,Los Angeles Kings,1,4
2014-04-28,Colorado Avalanche,Minnesota Wild,2,5
2014-04-29,New York Rangers,Philadelphia Flyers,2,5
2014-04-30,Los Angeles Kings,San Jose Sharks,5,1
2014-04-30,Philadelphia Flyers,New York Rangers,1,2
2014-04-30,Minnesota Wild,Colorado Avalanche,5,4
2014-05-01,Montreal Canadiens,Boston Bruins,4,3
2014-05-02,New York Rangers,Pittsburgh Penguins,3,2
2014-05-02,Minnesota Wild,Chicago Blackhawks,2,5
2014-05-03,Los Angeles Kings,Anaheim Ducks,3,2
2014-05-03,Montreal Canadiens,Boston Bruins,3,5
2014-05-04,Minnesota Wild,Chicago Blackhawks,1,4
2014-05-04,New York Rangers,Pittsburgh Penguins,0,3
2014-05-05,Los Angeles Kings,Anaheim Ducks,3,1
2014-05-05,Pittsburgh Penguins,New York Rangers,2,0
2014-05-06,Chicago Blackhawks,Minnesota Wild,0,4
2014-05-06,Boston Bruins,Montreal Canadiens,2,4
2014-05-07,Pittsburgh Penguins,New York Rangers,4,2
2014-05-08,Anaheim Ducks,Los Angeles Kings,3,2
2014-05-08,Boston Bruins,Montreal Canadiens,1,0
2014-05-09,Chicago Blackhawks,Minnesota Wild,2,4
2014-05-09,New York Rangers,Pittsburgh Penguins,5,1
2014-05-10,Montreal Canadiens,Boston Bruins,2,4
2014-05-10,Anaheim Ducks,Los Angeles Kings,2,0
2014-05-11,Minnesota Wild,Chicago Blackhawks,1,2
2014-05-11,Pittsburgh Penguins,New York Rangers,1,3
2014-05-12,Los Angeles Kings,Anaheim Ducks,3,4
2014-05-12,Boston Bruins,Montreal Canadiens,0,4
2014-05-13,Chicago Blackhawks,Minnesota Wild,2,1
2014-05-13,New York Rangers,Pittsburgh Penguins,2,1
2014-05-14,Montreal Canadiens,Boston Bruins,3,1
2014-05-14,Anaheim Ducks,Los Angeles Kings,1,2
2014-05-16,Los Angeles Kings,Anaheim Ducks,6,2
2014-05-17,New York Rangers,Montreal Canadiens,7,2
2014-05-18,Los Angeles Kings,Chicago Blackhawks,1,3
2014-05-19,New York Rangers,Montreal Canadiens,3,1
2014-05-21,Los Angeles Kings,Chicago Blackhawks,6,2
2014-05-22,Montreal Canadiens,New York Rangers,3,2
2014-05-24,Chicago Blackhawks,Los Angeles Kings,3,4
2014-05-25,Montreal Canadiens,New York Rangers,2,3
2014-05-26,Chicago Blackhawks,Los Angeles Kings,2,5
2014-05-27,New York Rangers,Montreal Canadiens,4,7
2014-05-28,Los Angeles Kings,Chicago Blackhawks,4,5
2014-05-29,Montreal Canadiens,New York Rangers,0,1
2014-05-30,Chicago Blackhawks,Los Angeles Kings,4,3
2014-06-01,Los Angeles Kings,Chicago Blackhawks,5,4
2014-06-04,New York Rangers,Los Angeles Kings,2,3
2014-06-07,New York Rangers,Los Angeles Kings,4,5
2014-06-09,Los Angeles Kings,New York Rangers,3,0
2014-06-11,Los Angeles Kings,New York Rangers,1,2
2014-06-13,New York Rangers,Los Angeles Kings,2,3
2013-01-19,New York Rangers,Boston Bruins,1,3
2013-01-19,Phoenix Coyotes,Dallas Stars,3,4
2013-01-19,Carolina Hurricanes,Florida Panthers,1,5
2013-01-19,Chicago Blackhawks,Los Angeles Kings,5,2
2013-01-19,Colorado Avalanche,Minnesota Wild,2,4
2013-01-19,Toronto Maple Leafs,Montreal Canadiens,2,1
2013-01-19,Columbus Blue Jackets,Nashville Predators,3,2
2013-01-19,New Jersey Devils,New York Islanders,2,1
2013-01-19,Pittsburgh Penguins,Philadelphia Flyers,3,1
2013-01-19,Detroit Red Wings,St. Louis Blues,0,6
2013-01-19,Washington Capitals,Tampa Bay Lightning,3,6
2013-01-19,Anaheim Ducks,Vancouver Canucks,7,3
2013-01-19,Ottawa Senators,Winnipeg Jets,4,1
2013-01-20,Philadelphia Flyers,Buffalo Sabres,2,5
2013-01-20,San Jose Sharks,Calgary Flames,4,1
2013-01-20,Dallas Stars,Minnesota Wild,0,1
2013-01-20,Pittsburgh Penguins,New York Rangers,6,3
2013-01-20,Chicago Blackhawks,Phoenix Coyotes,6,4
2013-01-20,Edmonton Oilers,Vancouver Canucks,3,2
2013-01-21,Winnipeg Jets,Boston Bruins,1,2
2013-01-21,Detroit Red Wings,Columbus Blue Jackets,4,3
2013-01-21,Anaheim Ducks,Calgary Flames,5,4
2013-01-21,St. Louis Blues,Nashville Predators,4,3
2013-01-21,Tampa Bay Lightning,New York Islanders,3,4
2013-01-21,Florida Panthers,Ottawa Senators,0,4
2013-01-21,Buffalo Sabres,Toronto Maple Leafs,2,1
2013-01-22,Tampa Bay Lightning,Carolina Hurricanes,4,1
2013-01-22,St. Louis Blues,Chicago Blackhawks,2,3
2013-01-22,Los Angeles Kings,Colorado Avalanche,1,3
2013-01-22,Dallas Stars,Detroit Red Wings,2,1
2013-01-22,San Jose Sharks,Edmonton Oilers,6,3
2013-01-22,Nashville Predators,Minnesota Wild,3,1
2013-01-22,Florida Panthers,Montreal Canadiens,1,4
2013-01-22,Philadelphia Flyers,New Jersey Devils,0,3
2013-01-22,Winnipeg Jets,Washington Capitals,4,2
2013-01-23,Boston Bruins,New York Rangers,3,4
2013-01-23,Columbus Blue Jackets,Phoenix Coyotes,1,5
2013-01-23,Toronto Maple Leafs,Pittsburgh Penguins,5,2
2013-01-23,Calgary Flames,Vancouver Canucks,2,3
2013-01-24,Buffalo Sabres,Carolina Hurricanes,3,6
2013-01-24,Columbus Blue Jackets,Colorado Avalanche,0,4
2013-01-24,Chicago Blackhawks,Dallas Stars,3,2
2013-01-24,Los Angeles Kings,Edmonton Oilers,1,2
2013-01-24,Ottawa Senators,Florida Panthers,3,1
2013-01-24,New York Rangers,Philadelphia Flyers,1,2
2013-01-24,Phoenix Coyotes,San Jose Sharks,3,5
2013-01-24,Nashville Predators,St. Louis Blues,0,3
2013-01-24,New York Islanders,Toronto Maple Leafs,7,4
2013-01-24,Montreal Canadiens,Washington Capitals,4,1
2013-01-25,Vancouver Canucks,Anaheim Ducks,5,0
2013-01-25,New York Islanders,Boston Bruins,2,4
2013-01-25,Carolina Hurricanes,Buffalo Sabres,3,1
2013-01-25,Minnesota Wild,Detroit Red Wings,3,5
2013-01-25,Washington Capitals,New Jersey Devils,2,3
2013-01-25,Ottawa Senators,Tampa Bay Lightning,4,6
2013-01-25,Pittsburgh Penguins,Winnipeg Jets,2,4
2013-01-26,Nashville Predators,Anaheim Ducks,2,3
2013-01-26,Chicago Blackhawks,Columbus Blue Jackets,3,2
2013-01-26,Edmonton Oilers,Calgary Flames,3,4
2013-01-26,St. Louis Blues,Dallas Stars,4,3
2013-01-26,Philadelphia Flyers,Florida Panthers,7,1
2013-01-26,Toronto Maple Leafs,New York Rangers,2,5
2013-01-26,Los Angeles Kings,Phoenix Coyotes,4,2
2013-01-26,Colorado Avalanche,San Jose Sharks,0,4
2013-01-27,Detroit Red Wings,Chicago Blackhawks,1,2
2013-01-27,New Jersey Devils,Montreal Canadiens,3,4
2013-01-27,Pittsburgh Penguins,Ottawa Senators,2,1
2013-01-27,Vancouver Canucks,San Jose Sharks,1,4
2013-01-27,Minnesota Wild,St. Louis Blues,4,5
2013-01-27,Philadelphia Flyers,Tampa Bay Lightning,1,5
2013-01-27,New York Islanders,Winnipeg Jets,4,5
2013-01-27,Buffalo Sabres,Washington Capitals,2,3
2013-01-28,Boston Bruins,Carolina Hurricanes,5,3
2013-01-28,Dallas Stars,Columbus Blue Jackets,1,2
2013-01-28,Colorado Avalanche,Edmonton Oilers,1,4
2013-01-28,Vancouver Canucks,Los Angeles Kings,2,3
2013-01-28,Nashville Predators,Phoenix Coyotes,0,4
2013-01-29,New Jersey Devils,Boston Bruins,1,2
2013-01-29,Toronto Maple Leafs,Buffalo Sabres,4,3
2013-01-29,Dallas Stars,Detroit Red Wings,1,4
2013-01-29,Columbus Blue Jackets,Minnesota Wild,2,3
2013-01-29,Winnipeg Jets,Montreal Canadiens,3,4
2013-01-29,Philadelphia Flyers,New York Rangers,1,2
2013-01-29,Washington Capitals,Ottawa Senators,2,3
2013-01-29,New York Islanders,Pittsburgh Penguins,4,1
2013-01-29,Anaheim Ducks,San Jose Sharks,2,3
2013-01-29,Florida Panthers,Tampa Bay Lightning,2,5
2013-01-30,Chicago Blackhawks,Minnesota Wild,2,3
2013-01-30,Montreal Canadiens,Ottawa Senators,1,5
2013-01-30,Edmonton Oilers,Phoenix Coyotes,2,1
2013-01-30,Colorado Avalanche,Vancouver Canucks,0,3
2013-01-31,Buffalo Sabres,Boston Bruins,7,4
2013-01-31,St. Louis Blues,Columbus Blue Jackets,4,1
2013-01-31,Colorado Avalanche,Calgary Flames,6,3
2013-01-31,Winnipeg Jets,Florida Panthers,3,6
2013-01-31,Nashville Predators,Los Angeles Kings,2,1
2013-01-31,New York Islanders,New Jersey Devils,5,4
2013-01-31,Pittsburgh Penguins,New York Rangers,3,0
2013-01-31,Edmonton Oilers,San Jose Sharks,2,3
2013-01-31,Washington Capitals,Toronto Maple Leafs,2,3
2013-02-01,Minnesota Wild,Anaheim Ducks,1,3
2013-02-01,Ottawa Senators,Carolina Hurricanes,0,1
2013-02-01,Phoenix Coyotes,Dallas Stars,3,4
2013-02-01,St. Louis Blues,Detroit Red Wings,3,5
2013-02-01,Winnipeg Jets,Tampa Bay Lightning,3,8
2013-02-01,Chicago Blackhawks,Vancouver Canucks,1,2
2013-02-01,Philadelphia Flyers,Washington Capitals,2,3
2013-02-02,Los Angeles Kings,Anaheim Ducks,4,7
2013-02-02,Detroit Red Wings,Columbus Blue Jackets,2,4
2013-02-02,Chicago Blackhawks,Calgary Flames,3,2
2013-02-02,Edmonton Oilers,Colorado Avalanche,1,3
2013-02-02,Buffalo Sabres,Montreal Canadiens,1,6
2013-02-02,Carolina Hurricanes,Philadelphia Flyers,3,5
2013-02-02,Dallas Stars,Phoenix Coyotes,0,2
2013-02-02,New Jersey Devils,Pittsburgh Penguins,1,5
2013-02-02,Nashville Predators,San Jose Sharks,2,1
2013-02-02,New York Rangers,Tampa Bay Lightning,3,2
2013-02-02,Boston Bruins,Toronto Maple Leafs,1,0
2013-02-03,Florida Panthers,Buffalo Sabres,4,3
2013-02-03,Ottawa Senators,Montreal Canadiens,1,2
2013-02-03,New Jersey Devils,New York Islanders,3,0
2013-02-03,Pittsburgh Penguins,Washington Capitals,6,3
2013-02-04,San Jose Sharks,Anaheim Ducks,1,2
2013-02-04,Dallas Stars,Colorado Avalanche,3,2
2013-02-04,Vancouver Canucks,Edmonton Oilers,3,2
2013-02-04,Minnesota Wild,Phoenix Coyotes,1,2
2013-02-04,Carolina Hurricanes,Toronto Maple Leafs,4,1
2013-02-05,Los Angeles Kings,Columbus Blue Jackets,4,2
2013-02-05,Calgary Flames,Detroit Red Wings,4,1
2013-02-05,New York Rangers,New Jersey Devils,1,3
2013-02-05,Pittsburgh Penguins,New York Islanders,4,2
2013-02-05,Buffalo Sabres,Ottawa Senators,3,4
2013-02-05,Tampa Bay Lightning,Philadelphia Flyers,1,2
2013-02-05,Chicago Blackhawks,San Jose Sharks,5,3
2013-02-05,Nashville Predators,St. Louis Blues,6,1
2013-02-05,Florida Panthers,Winnipeg Jets,2,3
2013-02-05,Toronto Maple Leafs,Washington Capitals,3,2
2013-02-06,Anaheim Ducks,Colorado Avalanche,3,0
2013-02-06,Dallas Stars,Edmonton Oilers,3,2
2013-02-06,Boston Bruins,Montreal Canadiens,2,1
2013-02-07,Montreal Canadiens,Buffalo Sabres,4,5
2013-02-07,Calgary Flames,Columbus Blue Jackets,4,3
2013-02-07,Vancouver Canucks,Minnesota Wild,4,1
2013-02-07,Tampa Bay Lightning,New Jersey Devils,2,4
2013-02-07,Los Angeles Kings,Nashville Predators,0,3
2013-02-07,New York Islanders,New York Rangers,1,4
2013-02-07,Carolina Hurricanes,Ottawa Senators,3,2
2013-02-07,Florida Panthers,Philadelphia Flyers,3,2
2013-02-07,Chicago Blackhawks,Phoenix Coyotes,6,2
2013-02-07,Washington Capitals,Pittsburgh Penguins,2,5
2013-02-07,Detroit Red Wings,St. Louis Blues,5,1
2013-02-07,Toronto Maple Leafs,Winnipeg Jets,3,2
2013-02-08,Anaheim Ducks,Dallas Stars,1,3
2013-02-09,Edmonton Oilers,Detroit Red Wings,1,2
2013-02-09,Nashville Predators,Minnesota Wild,1,2
2013-02-09,Toronto Maple Leafs,Montreal Canadiens,6,0
2013-02-09,Pittsburgh Penguins,New Jersey Devils,1,3
2013-02-09,Buffalo Sabres,New York Islanders,3,2
2013-02-09,Winnipeg Jets,Ottawa Senators,1,0
2013-02-09,Carolina Hurricanes,Philadelphia Flyers,3,4
2013-02-09,Phoenix Coyotes,San Jose Sharks,1,0
2013-02-09,Anaheim Ducks,St. Louis Blues,6,5
2013-02-09,Calgary Flames,Vancouver Canucks,1,5
2013-02-09,Florida Panthers,Washington Capitals,0,5
2013-02-10,Boston Bruins,Buffalo Sabres,3,1
2013-02-10,Edmonton Oilers,Columbus Blue Jackets,3,1
2013-02-10,Los Angeles Kings,Detroit Red Wings,2,3
2013-02-10,Chicago Blackhawks,Nashville Predators,3,0
2013-02-10,Tampa Bay Lightning,New York Rangers,1,5
2013-02-10,New Jersey Devils,Pittsburgh Penguins,3,1
2013-02-11,San Jose Sharks,Columbus Blue Jackets,2,6
2013-02-11,Minnesota Wild,Calgary Flames,2,1
2013-02-11,Phoenix Coyotes,Colorado Avalanche,3,2
2013-02-11,Carolina Hurricanes,New York Islanders,6,4
2013-02-11,Los Angeles Kings,St. Louis Blues,4,1
2013-02-11,Philadelphia Flyers,Toronto Maple Leafs,2,5
2013-02-12,New York Rangers,Boston Bruins,4,3
2013-02-12,Anaheim Ducks,Chicago Blackhawks,3,2
2013-02-12,Dallas Stars,Edmonton Oilers,4,1
2013-02-12,Washington Capitals,Florida Panthers,6,5
2013-02-12,Carolina Hurricanes,New Jersey Devils,4,2
2013-02-12,San Jose Sharks,Nashville Predators,0,1
2013-02-12,Buffalo Sabres,Ottawa Senators,0,2
2013-02-12,Montreal Canadiens,Tampa Bay Lightning,4,3
2013-02-12,Minnesota Wild,Vancouver Canucks,1,2
2013-02-12,Philadelphia Flyers,Winnipeg Jets,3,2
2013-02-13,Dallas Stars,Calgary Flames,4,7
2013-02-13,St. Louis Blues,Detroit Red Wings,4,3
2013-02-13,Ottawa Senators,Pittsburgh Penguins,2,4
2013-02-14,Toronto Maple Leafs,Carolina Hurricanes,1,3
2013-02-14,Montreal Canadiens,Florida Panthers,1,0
2013-02-14,Colorado Avalanche,Minnesota Wild,4,3
2013-02-14,Phoenix Coyotes,Nashville Predators,0,3
2013-02-14,New York Islanders,New York Rangers,4,3
2013-02-14,Washington Capitals,Tampa Bay Lightning,4,3
2013-02-15,Boston Bruins,Buffalo Sabres,2,4
2013-02-15,St. Louis Blues,Calgary Flames,5,2
2013-02-15,San Jose Sharks,Chicago Blackhawks,1,4
2013-02-15,Anaheim Ducks,Detroit Red Wings,5,2
2013-02-15,Columbus Blue Jackets,Los Angeles Kings,1,2
2013-02-15,Philadelphia Flyers,New Jersey Devils,3,5
2013-02-15,Dallas Stars,Vancouver Canucks,4,3
2013-02-15,Pittsburgh Penguins,Winnipeg Jets,3,1
2013-02-16,Colorado Avalanche,Edmonton Oilers,4,6
2013-02-16,Tampa Bay Lightning,Florida Panthers,6,5
2013-02-16,Philadelphia Flyers,Montreal Canadiens,1,4
2013-02-16,Anaheim Ducks,Nashville Predators,3,2
2013-02-16,New Jersey Devils,New York Islanders,1,5
2013-02-16,Columbus Blue Jackets,Phoenix Coyotes,3,5
2013-02-16,Ottawa Senators,Toronto Maple Leafs,0,3
2013-02-17,Pittsburgh Penguins,Buffalo Sabres,4,3
2013-02-17,Los Angeles Kings,Chicago Blackhawks,2,3
2013-02-17,Calgary Flames,Dallas Stars,4,3
2013-02-17,Detroit Red Wings,Minnesota Wild,2,3
2013-02-17,Washington Capitals,New York Rangers,1,2
2013-02-17,St. Louis Blues,Vancouver Canucks,4,3
2013-02-17,Boston Bruins,Winnipeg Jets,3,2
2013-02-18,Columbus Blue Jackets,Anaheim Ducks,2,3
2013-02-18,Nashville Predators,Colorado Avalanche,5,6
2013-02-18,Toronto Maple Leafs,Florida Panthers,3,0
2013-02-18,Carolina Hurricanes,Montreal Canadiens,0,3
2013-02-18,Ottawa Senators,New Jersey Devils,2,1
2013-02-18,Philadelphia Flyers,New York Islanders,7,0
2013-02-18,Calgary Flames,Phoenix Coyotes,0,4
2013-02-19,Winnipeg Jets,Buffalo Sabres,2,1
2013-02-19,Vancouver Canucks,Chicago Blackhawks,3,4
2013-02-19,Los Angeles Kings,Edmonton Oilers,3,1
2013-02-19,Detroit Red Wings,Nashville Predators,3,4
2013-02-19,Montreal Canadiens,New York Rangers,3,1
2013-02-19,New York Islanders,Ottawa Senators,1,3
2013-02-19,San Jose Sharks,St. Louis Blues,2,1
2013-02-19,Toronto Maple Leafs,Tampa Bay Lightning,2,4
2013-02-20,Los Angeles Kings,Calgary Flames,3,1
2013-02-20,St. Louis Blues,Colorado Avalanche,0,1
2013-02-20,Philadelphia Flyers,Pittsburgh Penguins,6,5
2013-02-21,Winnipeg Jets,Carolina Hurricanes,4,3
2013-02-21,Vancouver Canucks,Dallas Stars,4,3
2013-02-21,Columbus Blue Jackets,Detroit Red Wings,3,2
2013-02-21,Minnesota Wild,Edmonton Oilers,3,1
2013-02-21,New York Islanders,Montreal Canadiens,4,3
2013-02-21,New York Rangers,Ottawa Senators,2,3
2013-02-21,Florida Panthers,Philadelphia Flyers,5,2
2013-02-21,Boston Bruins,Tampa Bay Lightning,4,2
2013-02-21,Buffalo Sabres,Toronto Maple Leafs,1,3
2013-02-21,New Jersey Devils,Washington Capitals,3,2
